location,outbreak_number,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat,who_region,start_date,end_date,total_confirmed_cases,spatial_scale,location_period_id,time_to_peak..weeks.,latitude,longitude
afr::ago::cabinda,1,Sunday,7,0.100955851,61,0.062538281,,,weekly,AGO,975402.6,7050.124134,1.94,138.3525427,Rural settings,"Population <1,000,000",AFR,4/16/2017,6/3/2017,,admin1,15295,5.0,-5.786515,12.21127
afr::ben::collines::savalou,1,Monday,16,0.278344433,202,1.439297612,2.0,0.99009901,weekly,BEN,140346.2,2662.658461,2.06,52.70905077,Rural settings,"Population <1,000,000",AFR,9/24/2012,1/13/2013,,admin2,5445,4.0,7.944552898406926,2.109204053878841
afr::ben::donga::djougou,1,Monday,11,0.160479722,215,0.831574195,1.0,0.465116279,weekly,BEN,258545.8,4201.04414,1.8,61.54322387,Rural settings,"Population <1,000,000",AFR,9/10/2012,11/25/2012,,admin2,1355,5.0,9.471883773803825,1.529296040535087
afr::ben::oueme::aguegues,1,Monday,6,0.515226826,48,1.232645237,0.0,0.0,weekly,BEN,38940.6,146.2136566,1.87,266.3266955,Rural settings,"Population <100,000",AFR,1/11/2010,2/21/2010,,admin2,2959,3.0,6.428763866424561,2.59430909156805
afr::ben::oueme::bonou,1,Monday,6,0.669346484,59,1.482447998,2.0,3.389830508,weekly,BEN,39799.0,313.0287628,1.95,127.1416711,Rural settings,"Population <100,000",AFR,1/11/2010,2/21/2010,,admin2,8311,3.0,6.848169803619498,2.557924032211361
afr::civ::comoe::sudcomoe::aboisso,1,Monday,9,0.5053327,197,0.653855768,11.0,5.583756345,weekly,CIV,301289.7,4638.31413,1.69,64.95672599,Rural settings,"Population <1,000,000",AFR,5/21/2012,7/22/2012,,admin3,15284,3.0,6.249733,-3.173848
afr::civ::comoe::sudcomoe::adiake,1,Monday,9,1.304968545,128,1.559735964,8.0,6.25,weekly,CIV,82065.2,846.8428139,1.69,96.90724023,Rural settings,"Population <100,000",AFR,5/21/2012,7/22/2012,,admin3,15285,3.0,5.341024,-3.201863
afr::cmr::adamaoua::ngaoundereurbanhealthdistrict,1,Monday,15,0.233992369,49,0.759537159,2.0,4.081632653,weekly,CMR,64513.0,741.5119609,2.05,87.00196814,Rural settings,"Population <100,000",AFR,7/11/2011,10/23/2011,,admin2,13004,3.0,7.2623,13.7506
afr::cmr::centre::bafiahealthdistrict,1,Monday,8,0.110379275,46,0.319298203,3.0,6.52173913,weekly,CMR,144066.0,3485.082355,1.77,41.33790405,Rural settings,"Population <1,000,000",AFR,10/31/2011,12/25/2011,,admin2,13012,3.0,5.1766,11.1662
afr::cmr::centre::obalahealthdistrict,2,Monday,41,3.055054302,801,14.4565827,6.0,0.74906367,weekly,CMR,55407.3,627.6669084,2.38,88.27500583,Rural settings,"Population <100,000",AFR,3/14/2011,12/25/2011,,admin2,13035,8.0,4.3426,11.7232
afr::cmr::farnorth,1,Monday,22,0.126978531,328,0.072540357,11.0,3.353658537,weekly,CMR,4521621.0,34294.17995,1.96,131.8480572,Rural settings,"Population >1,000,000",AFR,7/8/2019,12/8/2019,,admin1,2570,9.0,13.077386856079158,14.085529327392692
afr::cmr::farnorth::bogohealthdistrict,1,Monday,6,0.097570163,15,0.107969268,1.0,6.666666667,weekly,CMR,138928.4,943.7755339,1.82,147.2049179,Rural settings,"Population <1,000,000",AFR,8/15/2011,9/25/2011,,admin2,13054,3.0,10.6879,14.7659
afr::cmr::farnorth::bourhahealthdistrict,1,Monday,21,0.163932389,55,0.246740225,2.0,3.636363636,weekly,CMR,222906.5,765.4304977,1.68,291.2171656,Rural settings,"Population <1,000,000",AFR,7/7/2014,11/30/2014,,admin2,13055,3.0,10.4167,13.5839
afr::cmr::farnorth::fotokolhealthdistrict,1,Monday,8,5.901896075,270,4.097602132,,,weekly,CMR,65892.2,363.0098685,2.74,181.5162774,Rural settings,"Population <100,000",AFR,10/15/2018,12/9/2018,,admin2,15273,3.0,12.56610530000006,14.308880400000078
afr::cmr::farnorth::goulfeyhealthdistrict,2,Monday,12,0.217995715,63,0.614966472,4.0,6.349206349,weekly,CMR,102444.6,1673.284775,1.75,61.22364915,Rural settings,"Population <1,000,000",AFR,6/27/2011,9/18/2011,,admin2,13057,3.0,12.674,14.7035
afr::cmr::farnorth::guerehealthdistrict,2,Monday,29,2.959536732,498,7.1817784,25.0,5.020080321,weekly,CMR,69342.2,944.763931,2.26,73.39632444,Rural settings,"Population <100,000",AFR,6/7/2010,12/26/2010,,admin2,13058,3.0,10.2742,15.3565
afr::cmr::farnorth::guerehealthdistrict,4,Monday,27,2.959536732,509,7.191166803,11.0,2.161100196,weekly,CMR,70781.3,944.763931,1.75,74.9195621,Rural settings,"Population <100,000",AFR,4/25/2011,10/30/2011,,admin2,13058,5.0,10.2742,15.3565
afr::cmr::farnorth::guidiguishealthdistrict,1,Monday,12,0.207061618,54,0.651551157,6.0,11.11111111,weekly,CMR,82879.1,1052.529165,2.04,78.74280614,Rural settings,"Population <100,000",AFR,9/20/2010,12/12/2010,,admin2,13059,3.0,10.3094,14.8571
afr::cmr::farnorth::hinahealthdistrict,1,Monday,22,0.397711176,54,0.258103351,10.0,18.51851852,weekly,CMR,209218.5,948.6867617,1.96,220.5348577,Rural settings,"Population <1,000,000",AFR,6/28/2010,11/28/2010,,admin2,13060,12.0,10.5496,13.9544
afr::cmr::farnorth::hinahealthdistrict,2,Monday,21,0.397711176,406,1.674037828,16.0,3.9408867,weekly,CMR,242527.4,948.6867617,2.09,255.645393,Rural settings,"Population <1,000,000",AFR,6/23/2014,11/16/2014,,admin2,13060,4.0,10.5496,13.9544
afr::cmr::farnorth::kaelehealthdistrict,1,Monday,22,0.50527796,307,1.830297137,25.0,8.143322476,weekly,CMR,167732.3,1024.82822,1.48,163.6686976,Rural settings,"Population <1,000,000",AFR,6/27/2011,11/27/2011,,admin2,13061,3.0,10.2688,14.6116
afr::cmr::farnorth::kolofatahealthdistrict,1,Monday,20,2.643418087,1416,10.66707095,63.0,4.449152542,weekly,CMR,132745.0,767.4268161,1.68,172.9741484,Rural settings,"Population <1,000,000",AFR,7/26/2010,12/12/2010,,admin2,13063,8.0,11.2567,14.2028
afr::cmr::farnorth::kousserihealthdistrict,2,Monday,20,1.353893281,276,1.584015362,18.0,6.52173913,weekly,CMR,174240.7,2927.572291,2.45,59.51712979,Rural settings,"Population <1,000,000",AFR,9/13/2010,1/30/2011,,admin2,13083,3.0,12.1541,14.8997
afr::cmr::farnorth::kousserihealthdistrict,4,Monday,29,1.353893281,869,4.905001751,31.0,3.567318757,weekly,CMR,177166.1,2927.572291,1.93,60.51638777,Rural settings,"Population <1,000,000",AFR,4/11/2011,10/30/2011,,admin2,13083,20.0,12.1541,14.8997
afr::cmr::farnorth::kozahealthdistrict,1,Monday,21,2.820862277,825,11.99152009,42.0,5.090909091,weekly,CMR,68798.6,626.9786722,1.85,109.7303673,Rural settings,"Population <100,000",AFR,6/14/2010,11/7/2010,,admin2,13064,9.0,11.1591,13.8933
afr::cmr::farnorth::kozahealthdistrict,2,Monday,17,2.820862277,146,1.716100518,12.0,8.219178082,weekly,CMR,85076.6,626.9786722,1.94,135.6929729,Rural settings,"Population <100,000",AFR,7/21/2014,11/16/2014,,admin2,13064,12.0,11.1591,13.8933
afr::cmr::farnorth::madahealthdistrict,1,Monday,20,3.980474713,628,11.98265062,26.0,4.140127389,weekly,CMR,52409.1,2362.267122,1.76,22.18593296,Rural settings,"Population <100,000",AFR,8/9/2010,12/26/2010,,admin2,13065,3.0,12.674,14.7035
afr::cmr::farnorth::madahealthdistrict,2,Monday,11,3.980474713,124,2.045877831,11.0,8.870967742,weekly,CMR,60609.7,2362.267122,1.74,25.65742859,Rural settings,"Population <100,000",AFR,9/19/2011,12/4/2011,,admin2,13065,3.0,12.674,14.7035
afr::cmr::farnorth::magahealthdistrict,1,Monday,13,1.872003664,222,1.390099649,4.0,1.801801802,weekly,CMR,159700.8,1738.857891,1.67,91.84235286,Rural settings,"Population <1,000,000",AFR,11/1/2010,1/30/2011,,admin2,13066,3.0,11.2435,14.9186
afr::cmr::farnorth::magahealthdistrict,2,Monday,16,1.872003664,1202,7.526575578,15.0,1.247920133,weekly,CMR,159700.8,1738.857891,1.53,91.84235286,Rural settings,"Population <1,000,000",AFR,7/4/2011,10/23/2011,,admin2,13066,7.0,11.2435,14.9186
afr::cmr::farnorth::mindifhealthdistrict,1,Monday,11,0.336426073,146,1.195680374,4.0,2.739726027,weekly,CMR,122106.2,986.3004425,2.79,123.8022358,Rural settings,"Population <1,000,000",AFR,9/12/2011,11/27/2011,,admin2,13072,3.0,10.5531,14.3991
afr::cmr::farnorth::mogodehealthdistrict,1,Monday,16,4.005801431,486,6.212742694,38.0,7.818930041,weekly,CMR,78226.3,758.0277016,2.06,103.1971521,Rural settings,"Population <100,000",AFR,7/19/2010,11/7/2010,,admin2,13073,4.0,10.7783,13.6598
afr::cmr::farnorth::mogodehealthdistrict,2,Monday,26,4.005801431,1198,12.16663234,55.0,4.590984975,weekly,CMR,98466.0,758.0277016,2.2,129.8976275,Rural settings,"Population <100,000",AFR,5/19/2014,11/16/2014,,admin2,13073,7.0,10.7783,13.6598
afr::cmr::farnorth::mokolohealthdistrict,1,Monday,18,1.939473042,1883,8.194145883,94.0,4.992033988,weekly,CMR,229798.2,943.4584514,1.51,243.5700265,Rural settings,"Population <1,000,000",AFR,7/5/2010,11/7/2010,,admin2,13074,8.0,11.0047,13.7925
afr::cmr::farnorth::mokolohealthdistrict,2,Monday,7,1.939473042,59,0.242923877,6.0,10.16949153,weekly,CMR,242874.4,943.4584514,1.78,257.4298843,Rural settings,"Population <1,000,000",AFR,9/8/2014,10/26/2014,,admin2,13074,3.0,11.0047,13.7925
afr::cmr::farnorth::morahealthdistrict,1,Monday,12,0.562413422,197,0.867496035,17.0,8.629441624,weekly,CMR,227090.4,4362.245165,1.51,52.05814699,Rural settings,"Population <1,000,000",AFR,8/30/2010,11/21/2010,,admin2,13075,4.0,10.9683368421053,14.3637684210526
afr::cmr::farnorth::morahealthdistrict,3,Monday,15,0.562413422,165,0.684323288,13.0,7.878787879,weekly,CMR,241114.1,4362.245165,1.62,55.2729365,Rural settings,"Population <1,000,000",AFR,8/8/2011,11/20/2011,,admin2,13075,3.0,10.9683368421053,14.3637684210526
afr::cmr::farnorth::rouahealthdistrict,1,Monday,13,1.591669835,232,7.63628932,38.0,16.37931034,weekly,CMR,30381.2,297.6236093,1.85,102.0792674,Rural settings,"Population <100,000",AFR,7/12/2010,10/10/2010,,admin2,13079,4.0,10.8348,13.9485
afr::cmr::farnorth::tokomberehealthdistrict,2,Monday,14,0.778116154,316,3.218388097,19.0,6.012658228,weekly,CMR,98185.8,586.8040993,2.71,167.322962,Rural settings,"Population <100,000",AFR,8/16/2010,11/21/2010,,admin2,13080,3.0,11.0094,14.2117
afr::cmr::farnorth::tokomberehealthdistrict,3,Monday,8,0.778116154,31,0.314725206,2.0,6.451612903,weekly,CMR,98498.6,586.8040993,1.81,167.8560189,Rural settings,"Population <100,000",AFR,8/15/2011,10/9/2011,,admin2,13080,4.0,11.0094,14.2117
afr::cmr::farnorth::velehealthdistrict,2,Monday,17,0.910059934,186,2.535346617,6.0,3.225806452,weekly,CMR,73362.8,1183.095347,1.92,62.00920339,Rural settings,"Population <100,000",AFR,9/27/2010,1/23/2011,,admin2,13081,3.0,10.7891,15.0753
afr::cmr::farnorth::velehealthdistrict,3,Monday,11,0.910059934,71,0.836250733,1.0,1.408450704,weekly,CMR,84902.8,1183.095347,1.72,71.76327776,Rural settings,"Population <100,000",AFR,8/8/2011,10/23/2011,,admin2,13081,3.0,10.7891,15.0753
afr::cmr::farnorth::yagouahealthdistrict,2,Monday,19,0.318503503,180,1.090862089,15.0,8.333333333,weekly,CMR,165007.1,1326.885262,2.1,124.3567208,Rural settings,"Population <1,000,000",AFR,8/16/2010,12/26/2010,,admin2,13082,5.0,10.2742,15.3565
afr::cmr::littoral::edeahealthdistrict,1,Monday,14,0.078050203,49,0.231079926,1.0,2.040816327,weekly,CMR,212047.8,5476.598179,2.12,38.71888955,Rural settings,"Population <1,000,000",AFR,6/20/2011,9/25/2011,,admin2,13092,4.0,4.1486,10.4167
afr::cmr::north,3,Monday,15,0.398866714,448,0.155382611,,,weekly,CMR,2883205.5,66355.07538,1.35,43.45116758,Rural settings,"Population >1,000,000",AFR,8/27/2018,12/9/2018,,admin1,5543,8.0,7.570377,15.55192
afr::cmr::north,4,Monday,5,0.398866714,136,0.045300441,,,weekly,CMR,3002178.3,66355.07538,1.26,45.2441397,Rural settings,"Population >1,000,000",AFR,10/28/2019,12/1/2019,,admin1,5543,3.0,7.570377,15.55192
afr::cmr::north::bibemihealthdistrict,2,Monday,29,1.876171411,1386,8.472343059,84.0,6.060606061,weekly,CMR,163591.1,2435.898967,1.68,67.15840937,Rural settings,"Population <1,000,000",AFR,4/25/2011,11/13/2011,,admin2,13122,5.0,9.6428,13.9307
afr::cmr::north::figuilhealthdistrict,2,Monday,15,1.434387795,123,1.398411829,8.0,6.504065041,weekly,CMR,87956.9,777.3752357,1.8,113.146002,Rural settings,"Population <100,000",AFR,8/23/2010,12/5/2010,,admin2,13109,10.0,9.635,13.9662
afr::cmr::north::figuilhealthdistrict,3,Monday,19,1.434387795,425,4.41202042,18.0,4.235294118,weekly,CMR,96327.8,777.3752357,1.05,123.9141609,Rural settings,"Population <100,000",AFR,7/18/2011,11/27/2011,,admin2,13109,3.0,9.635,13.9662
afr::cmr::north::figuilhealthdistrict,4,Monday,13,1.434387795,25,0.260124154,0.0,0.0,weekly,CMR,96108.0,777.3752357,1.91,123.6314145,Rural settings,"Population <100,000",AFR,8/11/2014,11/9/2014,,admin2,13109,4.0,9.635,13.9662
afr::cmr::north::garoua1healthdistrict,1,Monday,9,1.46800236,94,0.957155898,4.0,4.255319149,weekly,CMR,98207.6,429.4137305,1.52,228.7015832,Rural settings,"Population <100,000",AFR,8/29/2011,10/30/2011,,admin2,13110,3.0,9.3777,13.3848
afr::cmr::north::garoua1healthdistrict,3,Monday,12,1.46800236,119,1.047439189,,,weekly,CMR,113610.4,429.4137305,1.87,264.5709532,Rural settings,"Population <1,000,000",AFR,9/10/2018,12/2/2018,,admin2,13110,3.0,9.3777,13.3848
afr::cmr::north::garoua2healthdistrict,1,Monday,16,0.855237823,63,0.904863236,1.0,1.587301587,weekly,CMR,69623.8,103.6343114,1.92,671.8219001,Rural settings,"Population <100,000",AFR,8/29/2011,12/18/2011,,admin2,13111,3.0,9.4413,13.447
afr::cmr::north::golombehealthdistrict,1,Monday,7,0.687190068,22,0.288679667,0.0,0.0,weekly,CMR,76209.0,768.5359595,2.16,99.16126768,Rural settings,"Population <100,000",AFR,9/20/2010,11/7/2010,,admin2,13112,3.0,9.8894,13.7547
afr::cmr::north::golombehealthdistrict,3,Monday,11,0.687190068,91,1.164282593,4.0,4.395604396,weekly,CMR,78159.7,768.5359595,2.12,101.6994703,Rural settings,"Population <100,000",AFR,7/4/2011,9/18/2011,,admin2,13112,7.0,9.8894,13.7547
afr::cmr::north::guiderhealthdistrict,2,Monday,14,0.231180014,76,0.366273141,1.0,1.315789474,weekly,CMR,207495.4,1501.527603,1.96,138.1895342,Rural settings,"Population <1,000,000",AFR,8/22/2011,11/27/2011,,admin2,13113,12.0,10.1134,14.0718
afr::cmr::north::lagdohealthdistrict,1,Monday,28,0.578514873,468,2.943151831,14.0,2.991452991,weekly,CMR,159013.2,2420.910601,1.84,65.68321851,Rural settings,"Population <1,000,000",AFR,5/23/2011,12/4/2011,,admin2,13114,8.0,9.1888,13.6747
afr::cmr::north::mayooulohealthdistrict,2,Monday,15,0.31689036,163,1.196160179,5.0,3.067484663,weekly,CMR,136269.4,1170.931702,2.04,116.3768986,Rural settings,"Population <1,000,000",AFR,9/1/2014,12/14/2014,,admin2,13115,12.0,10.2552,13.7156
afr::cmr::north::mayooulohealthdistrict,3,Monday,6,0.31689036,7,0.049804999,1.0,14.28571429,weekly,CMR,140548.1,1170.931702,1.97,120.0309973,Rural settings,"Population <1,000,000",AFR,9/28/2015,11/8/2015,,admin2,13115,3.0,10.2552,13.7156
